epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
133,57.2018,1.78726,1.55559,0.73635,0.64823,0.29931,0.42567,0.20661,1.73667,1.34183,0.71681,0.000495291,0.000495291,0.000495291
134,57.6186,1.73004,1.4379,0.74463,0.61866,0.30382,0.42168,0.21006,1.6414,1.30314,0.71839,0.000488218,0.000488218,0.000488218
135,58.0188,1.60968,1.47353,0.77264,0.61866,0.30382,0.42168,0.21006,1.6414,1.30314,0.71839,0.000481144,0.000481144,0.000481144
136,58.4225,1.83136,1.63162,0.71769,0.61866,0.30382,0.42168,0.21006,1.6414,1.30314,0.71839,0.000474071,0.000474071,0.000474071
137,58.9537,1.81741,1.50775,0.72724,0.61866,0.30382,0.42168,0.21006,1.6414,1.30314,0.71839,0.000466997,0.000466997,0.000466997
138,59.4962,1.64188,1.43523,0.74316,0.58625,0.30315,0.41184,0.20876,1.58193,1.26843,0.7177,0.000459924,0.000459924,0.000459924
139,59.8776,1.88274,1.48649,0.72715,0.58625,0.30315,0.41184,0.20876,1.58193,1.26843,0.7177,0.00045285,0.00045285,0.00045285
140,60.3043,1.60323,1.45596,0.74816,0.58625,0.30315,0.41184,0.20876,1.58193,1.26843,0.7177,0.000445777,0.000445777,0.000445777
141,60.6697,1.95261,1.9844,0.69745,0.58625,0.30315,0.41184,0.20876,1.58193,1.26843,0.7177,0.000438703,0.000438703,0.000438703
142,61.0576,1.80998,1.42857,0.73805,0.61148,0.30451,0.4266,0.21301,1.55807,1.24362,0.71648,0.000431629,0.000431629,0.000431629
143,61.4477,1.76731,1.50404,0.73172,0.61148,0.30451,0.4266,0.21301,1.55807,1.24362,0.71648,0.000424556,0.000424556,0.000424556
144,61.8283,1.76945,1.39836,0.7462,0.61148,0.30451,0.4266,0.21301,1.55807,1.24362,0.71648,0.000417482,0.000417482,0.000417482
145,62.2126,1.90121,2.07778,0.70828,0.61148,0.30451,0.4266,0.21301,1.55807,1.24362,0.71648,0.000410409,0.000410409,0.000410409
146,62.6126,1.68757,1.56702,0.74424,0.62778,0.29706,0.43072,0.21808,1.55445,1.23024,0.71474,0.000403335,0.000403335,0.000403335
147,62.998,1.63279,1.48342,0.74477,0.62778,0.29706,0.43072,0.21808,1.55445,1.23024,0.71474,0.000396262,0.000396262,0.000396262
148,63.3962,1.92307,1.61198,0.71496,0.62778,0.29706,0.43072,0.21808,1.55445,1.23024,0.71474,0.000389188,0.000389188,0.000389188
149,63.7814,1.55998,1.4278,0.739,0.62778,0.29706,0.43072,0.21808,1.55445,1.23024,0.71474,0.000382115,0.000382115,0.000382115
150,64.1674,1.63716,1.30863,0.7398,0.6586,0.29668,0.44421,0.21915,1.56568,1.2263,0.71497,0.000375041,0.000375041,0.000375041
151,64.5706,1.64318,1.33801,0.73526,0.6586,0.29668,0.44421,0.21915,1.56568,1.2263,0.71497,0.000367967,0.000367967,0.000367967
152,64.9517,1.92835,1.8518,0.70057,0.6586,0.29668,0.44421,0.21915,1.56568,1.2263,0.71497,0.000360894,0.000360894,0.000360894
153,65.3405,1.68386,1.58022,0.73791,0.6586,0.29668,0.44421,0.21915,1.56568,1.2263,0.71497,0.00035382,0.00035382,0.00035382
154,65.9197,1.73245,1.4915,0.71243,0.72364,0.29705,0.44733,0.22531,1.49503,1.20208,0.71486,0.000346747,0.000346747,0.000346747
155,66.3102,1.58221,1.39765,0.75028,0.72364,0.29705,0.44733,0.22531,1.49503,1.20208,0.71486,0.000339673,0.000339673,0.000339673
156,66.7154,1.70633,1.30615,0.7229,0.72364,0.29705,0.44733,0.22531,1.49503,1.20208,0.71486,0.0003326,0.0003326,0.0003326
157,67.1219,1.5921,1.5225,0.75977,0.72364,0.29705,0.44733,0.22531,1.49503,1.20208,0.71486,0.000325526,0.000325526,0.000325526
158,67.5254,1.68713,1.37987,0.72255,0.71093,0.29597,0.44017,0.22352,1.51795,1.19689,0.71563,0.000318453,0.000318453,0.000318453
159,68.0049,1.64325,1.23358,0.74366,0.71093,0.29597,0.44017,0.22352,1.51795,1.19689,0.71563,0.000311379,0.000311379,0.000311379
160,68.3835,1.74213,1.47424,0.70991,0.71093,0.29597,0.44017,0.22352,1.51795,1.19689,0.71563,0.000304306,0.000304306,0.000304306
161,68.7414,1.56379,1.41468,0.74975,0.71093,0.29597,0.44017,0.22352,1.51795,1.19689,0.71563,0.000297232,0.000297232,0.000297232
162,69.1286,1.67876,1.49839,0.72668,0.68383,0.29673,0.44989,0.22001,1.62063,1.21409,0.7167,0.000290158,0.000290158,0.000290158
163,69.5282,1.64951,1.35602,0.72886,0.68383,0.29673,0.44989,0.22001,1.62063,1.21409,0.7167,0.000283085,0.000283085,0.000283085
164,69.9023,1.7656,1.47393,0.71216,0.68383,0.29673,0.44989,0.22001,1.62063,1.21409,0.7167,0.000276011,0.000276011,0.000276011
165,70.2893,1.80125,1.49317,0.72213,0.68383,0.29673,0.44989,0.22001,1.62063,1.21409,0.7167,0.000268938,0.000268938,0.000268938
166,70.7453,1.59796,1.34585,0.72666,0.68011,0.29527,0.45817,0.22277,1.60285,1.2038,0.71603,0.000261864,0.000261864,0.000261864
167,71.1266,1.55451,1.2895,0.73714,0.68011,0.29527,0.45817,0.22277,1.60285,1.2038,0.71603,0.000254791,0.000254791,0.000254791
168,71.54,1.67803,1.49325,0.71498,0.68011,0.29527,0.45817,0.22277,1.60285,1.2038,0.71603,0.000247717,0.000247717,0.000247717
169,71.9273,1.65964,1.57141,0.72354,0.68011,0.29527,0.45817,0.22277,1.60285,1.2038,0.71603,0.000240644,0.000240644,0.000240644
170,72.3197,1.67476,1.5033,0.71094,0.67137,0.29479,0.45873,0.23177,1.51087,1.17566,0.71494,0.00023357,0.00023357,0.00023357
171,72.8021,1.72397,1.81386,0.7227,0.67137,0.29479,0.45873,0.23177,1.51087,1.17566,0.71494,0.000226497,0.000226497,0.000226497
